Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Nightmare – Mörderische Träume”,"John Saxon, Heather Langenkamp, Johnny Depp, Robert Englund, Lin Shaye",New Line Cinema,1984,85 min.,366,
“Nightmare II – Die Rache”,"Robert Englund, Marshall Bell",New Line Cinema,1985,81 min.,374,
“Nightmare 3”,"Heather Langenkamp, Patricia Arquette, Robert Englund, Laurence Fishburne, John Saxon, Zsa Zsa Gabor",New Line Cinema,1987,93 min.,366,
“Nightshift – Das Leichenhaus flippt völlig aus”,"Henry Winkler, Michael Keaton, Shelley Long, Clint Howard, Vincent Schiavelli, Kevin Costner, Shannen Doherty",Warner Bros.,1982,101 min.,471,
“Nim’s Island”,"Jodie Foster, Gerard Butler",Universal Pictures,2008,92 min.,,1153
“Nine Months”,"Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack, Jeff Goldblum, Robin Williams",20th Century Fox,1995,99 min.,,750
“No Way Out”,"Kevin Costner, Gene Hackman, Will Patton, Sean Young, George Dzundza, Iman, Fred Dalton Thompson, David Paymer",Orion Pictures,1987,109 min.,362,1265
“Nobody ist der Größte”,"Terence Hill, Patrick McGoohan, Klaus Kinski",Rialto Film,1975,109 min.,479,351
“Nobody’s Fool – Auf Dauer unwiderstehlich”,"Paul Newman, Bruce Willis, Melanie Griffith",Paramount Pictures,1994,105 min.,256,909
“North”,"Elijah Wood, Bruce Willis, Jon Lovitz, Jason Alexander, John Ritter, Dan Aykroyd, Abe Vigoda, Alexander Godunov, Rosalind Chao",Columbia Pictures/ Castle Rock Entertainment/New Line Cinema,1994,83 min.,390,660
“Not a Girl – Crossroads”,"Britney Spears, Zoe Saldana, Dan Aykroyd, Kim Cattrall, Justin Long",Paramount Pictures,2002,89 min.,,
“Notting Hill”,"Hugh Grant, Julia Roberts, Alec Baldwin, Rhys Ifans, Matthew Modine",Universal Pictures/ Polygram Films,1999,120 min.,335,Kauf
“November Man”,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich, Will Patton",Relativity Media,2014,103 min.,,Digital Copy
"""Novocaine""","Steve Martin, Laura Dern, Helena Bonham Carter, Elias Koteas, Scott Caan, Keith David, Kevin Bacon",Artisan Entertainment,2001,91 min.,520,
“Now and then – Damals und heute”,"Christina Ricci, Demi Moore, Melanie Griffith, Gaby Hoffmann",New Line Cinema,1995,98 min.,236,241
“Now You See Me – Die Unfassbaren”,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Morgan Freeman, Michael Caine, Michael Kelly, David Warshofsky, Conan O’Brien, Elias Koteas",Summit Entertainment,2013,125 min.,,Kauf (BD)
“Nur 48 Stunden”,"Nick Nolte, Eddie Murphy, Annette O’Toole, Denise Crosby",Paramount Pictures,1982,91 min.,375,Kauf
“Nur noch 60 Sekunden”,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, Will Patton, Delroy Lindo, Robert Duvall, Bodhi Elfman",Touchstone Pictures,2000,113 min.,477,
“Nurse Betty”,"Renée Zellweger, Morgan Freeman, Chris Rock, Greg Kinnear, Aaron Eckhart, Crispin Glover, Pruitt Taylor Vince, Allison Janney",USA Films,2000,105 min.,419,277
“Oblivion”,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Nikolaj Coster-Waldau, Melissa Leo",Universal Pictures,2013,124 min.,,Kauf (BD)
“Ocean’s Eleven”,"George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Julia Roberts, Don Cheadle, Elliott Gould, Casey Affleck, Carl Reiner, Lennox Lewis, Vladimir Klitschko, Jerry Weintraub, Henry Silva, Siegfried Fischbacher, Roy Horn, Steven Soderbergh",Warner Bros.,2001,112 min.,452,808/ Kauf
“Octalus – Der Tod aus der Tiefe”,"Treat Williams, Kevin J. O’Connor, Cliff Curtis, Una Damon",Cinergi,1997,101 min.,233,821
“Octopus II”,,Nu Image Films,2001,90 min.,517,
"""Omen IV: Das Erwachen""","Michael Lerner, Don S. Davis",20th Century Fox,1991,93 min.,,102
“One Hour Photo”,"Robin Williams, Eriq La Salle",20th Century Fox,2002,92 min.,486,Kauf
“One Way”,"Til Schweiger, Michael Clarke Duncan, Eric Roberts, Ned Bellamy",Universal Pictures,2006,112 min.,,1013
“Operation: Broken Arrow”,"John Travolta, Christian Slater, Delroy Lindo, Bob Gunton, Frank Whaley, Casey Biggs, Kurtwood Smith",20th Century Fox,1996,104 min.,452,Kauf
“Operation: Kingdom”,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman, Jeremy Piven, Richard Jenkins, Kyle Chandler, Frances Fisher",Universal Pictures,2007,105 min.,,1070
“Operation Walküre – Das Stauffenberg Attentat”,"Tom Cruise, Kenneth Branagh, Bill Nighy, Tom Wilkinson, Thomas Kretschmann, Terence Stamp, Eddie Izzard, Kevin McNally, Tom Hollander, David Schofield, Matthias Schweighöfer, Ian McNeice",Metro Goldwyn Mayer/United Artists,2008,116 min.,,1338
“Orange County”,"Colin Hanks, Jack Black, Schuyler Fisk, Catherine O’Hara, John Lithgow, Lily Tomlin, George Murdock, Chevy Chase, Manu Intiraymi, Dana Ivey, Harold Ramis, Kevin Kline, Ben Stiller",Paramount Pictures/ MTV Films,2002,79 min.,,31
“Orca – Der Killer-Wal”,"Richard Harris, Bo Derek, Robert Carradine",Paramount Pictures,1977,88 min.,373,880
“Original Sin”,"Antonio Banderas, Angelina Jolie, Thomas Jane",Metro Goldwyn Mayer,2001,111 min.,,1771
“Oscar”,"Sylvester Stallone, Ornella Muti, Don Ameche, Tim Curry, Vincent Spano, Marisa Tomei, Eddie Bracken, Chazz Palminteri, Kurtwood Smith, Yvonne De Carlo, William Atherton, Harry Shearer, Art LaFleur, Kirk Douglas, Marshall Bell",Touchstone Pictures,1991,105 min,,1157
“Osmosis Jones”,"Bill Murray, Chris Elliott, Molly Shannon",Warner Bros.,2001,92 min.,483,
“Otto – Der Film”,"Otto Waalkes, Sky Dumont",Tobis,1985,82 min.,294,67/ Kauf
“Otto – Der neue Film”,Otto Waalkes,Tobis,1987,82 min.,309,315
“Otto – Der Außerfriesische”,"Otto Waalkes, Hans Peter Hallwachs, Volkmar Kleinert, Arnold Marquis, Steffi Graf, Vicco von Bülow",Rialto Film,1989,89 min.,93,140
“Otto – Der Liebesfilm”,"Otto Waalkes, Jessika Cardinahl, Ruth-Maria Kubitschek, Ralf Wolter, Ingolf Lück, Klaus Meine",Rialto Film,1992,86 min.,,407
“Otto – Der Katastrofenfilm”,"Otto Waalkes, Eva Hassmann, Ben Becker",Tobis,2000,88 min.,71,1081
“Out for a Kill – Tong Tattoos: Das Tor zur Hölle”,"Steven Seagal, Kevin Dunn",TriStar,2003,86 min.,,123
“Out of Sight”,"George Clooney, Jennifer Lopez, Nancy Allen, Luis Guzman, Don Cheadle",Universal Pictures,1998,112 min.,252,1555
“Out of Time – Sein Gegner ist die Zeit”,"Denzel Washington, Eva Mendes, Dean Cain, John Billingsley, Nora Dunn",Metro Goldwyn Mayer,2003,101 min.,,177
“Overboard”,"Goldie Hawn, Kurt Russell, Edward Herrmann, Katherine Helmond, Michael G. Hagerty, Roddy McDowall, Hector Elizondo",Metro Goldwyn Mayer,1987,107 min.,509,
“Panic Room”,"Jodie Foster, Forest Whitaker, Jared Leto",Columbia Pictures,2002,108 min.,140,
“Papillon”,"Steve McQueen, Dustin Hoffman, Anthony Zerbe, Richard Farnsworth",Allied Artists Pictures,1973,143 min.,408,781
“Pappa ante Portas”,"Loriot, Evelyn Hamann",Tobis,1990,86 min.,242,712
“Partyalarm – Finger weg von meiner Tochter”,"Ashton Kutcher, Tara Reid, Terence Stamp, Molly Shannon, Michael Madsen, Jeffrey Tambor, Carmen Electra, Charlotte Zucker",Dimension Films,2003,82 min.,,349
“Passagier 57”,Wesley Snipes,Warner Bros.,1992,80 min.,257,Kauf (BD)
“Passwort: Swordfish”,"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle, Sam Shepard, Zach Grenier",Warner Bros.,2001,95 min.,445,1733
“Patch Adams”,"Robin Williams, Peter Coyote, Harold Gould (I), Monica Potter, Philip Seymour Hoffman, Bob Gunton, Michael Jeter",Universal Pictures,1998,111 min.,350,Kauf
“Payback – Zahltag”,"Mel Gibson, Kris Kristofferson, David Paymer, James Coburn, Lucy Liu, William Devane",Paramount Pictures/ Warner Bros.,1999,93 min.,420,1400
“Pearl Harbor”,"Ben Affleck, Josh Hartnett, Kate Beckinsale, Cuba Gooding Jr., Jon Voight, Alec Baldwin, Tom Sizemore, Jennifer Garner, Dan Aykroyd, Colm Feore, William Fichtner, John Diehl, Ted McGinley",Touchstone Pictures,2001,175 min.,519,1582
“Peggy Sue hat geheiratet”,"Kathleen Turner, Nicolas Cage, Catherine Hicks, Kevin J. O’Connor, Jim Carrey, Helen Hunt ",TriStar,1986,99 min.,,61
“Per Anhalter durch die Galaxis”,"Sam Rockwell, Mos Def, John Malkovich",Touchstone Pictures,2005,104 min.,,483
“Perfect World”,"Kevin Costner, Clint Eastwood, Laura Dern, Bruce McGill",Warner Bros.,1993,130 min.,353,
“Philadelphia”,"Tom Hanks, Denzel Washington, Antonio Banderas, Mary Steenburgen, Robert Ridgely, Jason Robards, Tracey Walter, Charles Napier",TriStar,1993,120 min.,394,
“Picking Up the Pieces – Ein Stück vom Himmel”,"Woody Allen, Sharon Stone, Maria Grazia Cucinotta, Fran Drescher, Elliott Gould, Joseph Gordon-Levitt, Eddie Griffin, Cheech Marin, Lou Diamond Phillips, David Schwimmer, Kiefer Sutherland",Cinemax,2000,91 min.,508,
“Pitch Black – Planet der Finsternis”,"Vin Diesel, Keith David (I)",Universal Pictures/ Polygram Films,2000,104 min.,485,Kauf
“Planet der Affen”,"Mark Wahlberg, Helena Bonham Carter, Michael Clarke Duncan, Paul Giamatti, David Warner, Kris Kristofferson, Erick Avari, Glenn Shadix, Charlton Heston",20th Century Fox,2001,116 min.,450,Kauf
“Planet der Affen – Prevolution”,"Andy Serkis, James Franco, John Lithgow, Brian Cox, Ty Olsson",20th Century Fox,2011,104 min.,,Kauf (BD)
“Planet der Affen – Revolution”,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Judy Greer",20th Century Fox,2014,130 min.,,Kauf (BD)
“Platoon”,"Tom Berenger, Charlie Sheen, Willem Dafoe, John C. McGinley, Forest Whitaker, Kevin Dillon, Keith David (I), Johnny Depp, Tony Todd (I), Oliver Stone",20th Century Fox/ Orion Pictures,1986,114 min.,408,716
“Pleasantville”,"Tobey Maguire, Jeff Daniels, William H. Macy, J.T. Walsh, Reese Witherspoon, Paul Walker (I)",New Line Cinema,1998,119 min.,341,Kauf
"""Plötzlich Prinzessin""","Anne Hathaway, Hector Elizondo, Mandy Moore, Larry Miller",Walt Disney Pictures,2001,111 min.,,1675
"""Plötzlich Prinzessin 2""","Anne Hathaway, Hector Elizondo, John Rhys-Davies, Chris Pine, Tom Poston, Raven-Symoné, Larry Miller, Abigail Breslin",Walt Disney Pictures,2004,108 min.,,389
“Police Academy – Dümmer als die Polizei erlaubt”,"Steve Guttenberg, George Gaynes, Kim Cattrall, Bubba Smith, Michael Winslow, David Graf, G.W. Bailey, Leslie Easterbrook, Bruce Mahler, Scott Thomson (I), Marion Ramsey, George R. Robertson",Warner Bros.,1984,92 min.,302,Kauf
“Police Academy 2 – Jetzt geht’s erst richtig los”,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow, George Gaynes, Bruce Mahler, Marion Ramsey, Colleen Camp, Art Metrano, Bob Goldthwait, Tim Kazurinsky, Lance Kinsey, George R. Robertson, Jackie Joseph, G.W. Bailey",Warner Bros.,1985,82 min.,302,Kauf
“Police Academy 3 – Und keiner kann sie bremsen”,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow, Marion Ramsey, Leslie Easterbrook, Art Metrano, Tim Kazurinsky, Bob Goldthwait, George Gaynes, Scott Thomson, Bruce Mahler, Lance Kinsey, George R. Robertson",Warner Bros.,1986,81 min.,473,Kauf
“Police Academy 4 – Und jetzt geht’s rund!”,"Steve Guttenberg, Bubba Smith, Michael Winslow, David Graf, Tim Kazurinsky, Sharon Stone, Leslie Easterbrook, Marion Ramsey, Lance Kinsey, G.W. Bailey, Bob Goldthwait, George Gaynes, Scott Thomson, Billie Bird, George R. Robertson, Brian Backer, David Spade, Tab Thacker, Corinne Bohrer, Randall Cobb, Colleen Camp, Jackie Joseph, Tony Hawk",Warner Bros.,1987,84 min.,,Kauf
“Poseidon”,"Josh Lucas, Kurt Russell, Richard Dreyfuss, Emmy Rossum, Kevin Dillon",Warner Bros.,2006,94 min.,,739
“Power – Weg zur Macht”,"Richard Gere, Gene Hackman, Denzel Washington, E.G. Marshall",20th Century Fox,1986,106 min.,,1007
“Predator”,"Arnold Schwarzenegger, Jesse Ventura, Bill Duke, Carl Weathers",20th Century Fox,1987,99 min.,,869
“Predator 2”,"Danny Glover, Gary Busey, Rubén Blades, Maria Conchita Alonso, Bill Paxton, Robert Davi, Adam Baldwin",20th Century Fox,1990,93 min.,,87
“Prêt-à-Porter”,"Sophia Loren, Kim Basinger, Julia Roberts, Tim Robbins, Harry Belafonte, Cher, Helena Christensen, Björk, Naomi Campbell, David Copperfield, Claudia Schiffer, Forest Whitaker, Richard E. Grant, Linda Hunt, Teri Garr, Danny Aiello",Miramax Films,1994,126 min.,308,
"""Prince of Persia – The Sands of Time""","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",Walt Disney Pictures,2010,116 min.,,Kauf (BD)
"""Prisoners""","Hugh Jackman, Jake Gyllenhaal, Maria Bello, Terrence Howard, Melissa Leo, Len Cariou",Warner Bros.,2013,153 min.,,Kauf (BD)
“P.S. Ich liebe dich”,"Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon, Kathy Bates, Harry Connick Jr.",Warner Bros./Tobis,2007,121 min.,,1187
“Psycho”,"Anthony Perkins, Alfred Hitchcock",Universal Pictures/ Paramount Pictures,1960,102 min.,497,986/ Kauf
“Psycho”,Anne Heche,Universal Pictures,1998,99 min.,262,912
“Psycho II”,Anthony Perkins,Universal Pictures,1982,107 min.,235,Kauf
“Psycho III”,Anthony Perkins,Universal Pictures,1986,89 min.,261,Kauf
“Pulp Fiction”,"John Travolta, Samuel L. Jackson, Bruce Willis, Uma Thurman, Harvey Keitel, Ving Rhames, Christopher Walken, Quentin Tarantino, Eric Stoltz, Rosanna Arquette, Frank Whaley, Steve Buscemi",Miramax Films,1994,148 min.,202,652
“Quatermain – Auf der Suche nach dem Schatz der Könige”,"Richard Chamberlain, Sharon Stone, John Rhys-Davies",Metro Goldwyn Mayer,1985,94 min.,371,103
“Rambo”,"Sylvester Stallone, Richard Crenna, Brian Dennehy",Orion Pictures,1982,89 min.,504,736
“Rambo II – Der Auftrag”,"Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff, Martin Kove",TriStar,1985,91 min.,504,768
“Rambo III”,"Sylvester Stallone, Richard Crenna, Kurtwood Smith",TriStar,1988,92 min.,504,1046
“Ran an die Braut”,"Kirsten Dunst, Colin Hanks, Swoosie Kurtz, Ed Begley Jr., Martin Short, Carmen Electra, Coolio",Miramax Films/ Dimension Films,2001,84 min.,444,
“Rat Race”,"John Cleese, Rowan Atkinson, Whoopi Goldberg, Cuba Gooding Jr., Seth Green, Wayne Knight, Jon Lovitz, Dean Cain, Charlotte Zucker, Colleen Camp, Kathy Bates",Paramount Pictures,2001,107 min.,521,1128
“Real Steel”,"Hugh Jackman, Evangeline Lilly, Anthony Mackie, Kevin Durand, James Rebhorn, Steven Gätjen, Miguel Sandoval",Touchstone Pictures / DreamWorks Pictures,2011,122 min.,,1645
“Reasonable Doubt”,"Dominic Cooper, Samuel L. Jackson",Lionsgate,2014,91 min.,,Digital Copy
“Red Corner”,"Richard Gere, Bai Ling, James Hong, Robert Stanton",Metro Goldwyn Mayer,1997,117 min.,,1190
“Red Eye”,"Rachel McAdams, Cillian Murphy, Wes Craven",DreamWorks Pictures,2005,82 min.,,502
“Red Heat”,"Arnold Schwarzenegger, James Belushi, Peter Boyle, Laurence Fishburne, Gina Gershon, Pruitt Taylor Vince, Michael G. Hagerty, Brion James, Kurt Fuller",TriStar,1988,99 min.,421,775
“Red Planet”,"Val Kilmer, Carrie-Anne Moss, Tom Sizemore, Benjamin Bratt, Terence Stamp",Warner Bros.,2000,101 min.,441,Kauf
“Red Rock West”,"Nicolas Cage, Dennis Hopper, Lara Flynn Boyle, J.T. Walsh, Timothy Carhart",PolyGram Films,1993,94 min.,,1371
“Reine Nervensache”,"Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri, Joe Viterelli, Molly Shannon",Warner Bros.,1999,99 min.,320,968
“Reine Nervensache 2 – Der Wahnsinn geht weiter”,"Robert De Niro, Billy Crystal, Lisa Kudrow, Jow Viterelli, Anthony LaPaglia",Warner Bros.,2002,92 min.,,32
“Remo – Unbewaffnet und gefährlich”,"Fred Ward, Kate Mulgrew, Wilford Brimley, Reginald VelJohnson",Orion Pictures,1985,110 min.,372,1414
“Rent-a-Cop”,"Burt Reynolds, Liza Minnelli, Richard Masur, Bernie Casey, Michael Rooker",Kingsroad Entertainment,1988,93 min.,511,
“Rent-a-Kid”,"Leslie Nielsen, Christopher Lloyd, Matt McCoy, Tony Rosato, Amanda Tapping",Viacom Entertainment,1995,86 min.,,273
“Rent a Man – Ein Mann für gewisse Sekunden”,"Rob Schneider, William Forsythe, Oded Fehr, Richard Riehle",Touchstone Pictures,1999,85 min.,464,
“Replicant”,"Jean-Claude Van Damme, Michael Rooker",Artisan Entertainment,2001,96 min.,,
“Repli-Kate”,"Eugene Levy, Kurt Fuller",20th Century Fox,2002,91 min.,,130
“Resident Evil”,"Milla Jovovich, Michelle Rodriguez, Eric Mabius, Heike Makatsch",Constantin Film,2002,96 min.,450,136
“Resurrection – Die Auferstehung”,Christopher Lambert,Interlight Pictures,1999,104 min.,328,1140
“Retroactive – Gefangene der Zeit”,"James Belushi, Frank Whaley, M. Emmet Walsh",Orion Pictures,1997,87 min.,,266
“Riddick – Chroniken eines Kriegers”,"Vin Diesel, Colm Feore, Judi Dench, Keith David",Universal Pictures,2004,115 min.,,288/ Kauf
“Ring”,"Naomi Watts, David Dorfman",DreamWorks Pictures,2002,111 min.,,43
“Ritter aus Leidenschaft”,"Heath Ledger, Mark Addy",Columbia Pictures,2001,123 min.,432,
“Ritter Jamal – Eine schwarze Komödie”,Martin Lawrence,20th Century Fox,2001,92 min.,478,
“Road Trip”,"Breckin Meyer, Seann William Scott, Amy Smart, Tom Green, Fred Ward",DreamWorks Pictures,2000,90 min.,71,
"“Robert Hanssen, der Meisterspion (1)”","William Hurt, Mary-Louise Parker, David Strathairn, Ron Silver, Wayne Knight, Peter Boyle",20th Century Fox Television,2002,86 min.,,Kauf (U.S. DVD)
"“Robert Hanssen, der Meisterspion (2)”","William Hurt, Mary-Louise Parker, David Strathairn, Ron Silver, Wayne Knight, Peter Boyle",20th Century Fox Television,2002,85 min.,,Kauf (U.S. DVD)
“Robin Hood – Helden in Strumpfhosen”,"Cary Elwes, Mel Brooks, Patrick Stewart, Dom DeLuise, Dick Van Patten, Chase Masterson, Robert Ridgely, Dave Chappelle",Columbia TriStar,1993,100 min.,238,
“Robocop: Prime Directives – Resurrection”,,Lionsgate,2000,92 min.,,908
“Robocop: Prime Directives – Crash & Burn”,,Lionsgate,2000,91 min.,,928
“Rock Star”,"Mark Wahlberg, Jennifer Aniston, Zakk Wylde, Matthew Glave, Rachel Hunter",Warner Bros.,2001,101 min.,475,
“Rocky”,"Sylvester Stallone, Talia Shire, Carl Weathers, Joe Frazier, Michael Dorn",United Artists,1976,114 min.,506,607/ Kauf
“Rocky II”,"Sylvester Stallone, Talia Shire, Carl Weathers, Frank McRae, Michael Dorn",United Artists,1979,113 min.,303,Kauf
“Rocky III”,"Sylvestor Stallone, Talia Shire, Carl Weathers, Burgess Meredith, Mr. T, Hulk Hogan",United Artists,1982,95 min.,,Kauf
“Rocky IV”,"Sylvester Stallone, Talia Shire, Carl Weathers, Brigitte Nielsen, Dolph Lundgren, James Brown",United Artists/Metro Goldwyn Mayer,1985,87 min.,,329/ Kauf
“Rookie – Der Anfänger”,"Clint Eastwood, Charlie Sheen, Raul Julia, Tom Skerritt, Lara Flynn Boyle, Xander Berkeley",Warner Bros.,1990,112 min.,433,
“Roter Drache”,"Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel, Philip Seymour Hoffman, Anthony Heald, Frankie Faison, Michael Cavanaugh, Frank Whaley",Metro-Goldwyn-Mayer/Universal Pictures,2002,119 min.,,36/ Kauf
“Roxanne”,"Steve Martin, Daryl Hannah, Damon Wayans",Columbia Pictures,1987,102 min.,370,243
“Rules – Sekunden der Entscheidung”,"Samuel L. Jackson, Tommy Lee Jones, Ben Kingsley, Bruce Greenwood (I), Anne Archer, Blair Underwood, Philip Baker Hall, Richard McGonagle, David Graf",Paramount Pictures,2000,122 min.,,101
“Runaway Jury” (“Das Urteil”),"John Cusack, Gene Hackman, Dustin Hoffman, Rachel Weisz, Bruce McGill, Jeremy Piven, Cliff Curtis, Jennifer Beals, Gerry Bamman, Bill Nunn, Nora Dunn, Orlando Jones, Luis Guzmán",20th Century Fox,2003,123 min.,,270
“Rush Hour”,"Chris Tucker, Jackie Chan, Rex Linn, Philip Baker Hall",New Line Cinema,1998,93 min.,395,1125
“Rush Hour 2”,"Chris Tucker, Jackie Chan, Harris Yulin, Saul Rubinek, Don Cheadle",New Line Cinema,2001,86 min.,447,Kauf
“Sabotage”,"Arnold Schwarzenegger, Sam Worthington, Joe Manganiello, Josh Holloway, Terrence Howard, Mireille Enos, Gary Grubbs, Olivia Williams, Harold Perrineau, Ralf Moeller",Open Road Films,2014,109 min.,,Digital Copy
“Sabrina”,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, Richard Crenna, Lauren Holly, Dana Ivey, Paul Giamatti",Paramount Pictures,1995,121 min.,,221/ Kauf
“Safecrackers oder Diebe haben’s schwer”,"Sam Rockwell, William H. Macy, Isaiah Washington, Michael Jeter, Luis Guzmán, George Clooney",Warner Bros.,2002,82 min.,,83
